Source	Target	Weight
9606.ENSP00000400467	9606.ENSP00000435777	0.992852
9606.ENSP00000435777	9606.ENSP00000400467	0.992852
9606.ENSP00000251453	9606.ENSP00000435777	0.992757
9606.ENSP00000435777	9606.ENSP00000251453	0.992757
9606.ENSP00000225430	9606.ENSP00000307889	0.992695
9606.ENSP00000307889	9606.ENSP00000225430	0.992695
9606.ENSP00000222247	9606.ENSP00000419117	0.992637
9606.ENSP00000419117	9606.ENSP00000222247	0.992637
9606.ENSP00000307889	9606.ENSP00000346050	0.992599
9606.ENSP00000346050	9606.ENSP00000307889	0.992599
9606.ENSP00000302896	9606.ENSP00000379888	0.992578
9606.ENSP00000379888	9606.ENSP00000302896	0.992578
9606.ENSP00000341885	9606.ENSP00000363018	0.992516
9606.ENSP00000363018	9606.ENSP00000341885	0.992516
9606.ENSP00000296674	9606.ENSP00000416429	0.992500
9606.ENSP00000416429	9606.ENSP00000296674	0.992500
9606.ENSP00000295550	9606.ENSP00000355180	0.992491
9606.ENSP00000355180	9606.ENSP00000295550	0.992491
9606.ENSP00000278572	9606.ENSP00000379888	0.992442
9606.ENSP00000379888	9606.ENSP00000278572	0.992442
9606.ENSP00000418868	9606.ENSP00000447001	0.992420
9606.ENSP00000447001	9606.ENSP00000418868	0.992420
9606.ENSP00000435777	9606.ENSP00000464813	0.992366
9606.ENSP00000464813	9606.ENSP00000435777	0.992366
9606.ENSP00000259469	9606.ENSP00000435096	0.992334
9606.ENSP00000435096	9606.ENSP00000259469	0.992334
9606.ENSP00000346015	9606.ENSP00000464813	0.992182
9606.ENSP00000464813	9606.ENSP00000346015	0.992182
9606.ENSP00000318646	9606.ENSP00000428085	0.992175
9606.ENSP00000428085	9606.ENSP00000318646	0.992175
9606.ENSP00000361076	9606.ENSP00000447001	0.992101
9606.ENSP00000447001	9606.ENSP00000361076	0.992101
9606.ENSP00000363676	9606.ENSP00000389103	0.991981
9606.ENSP00000389103	9606.ENSP00000363676	0.991981
9606.ENSP00000346050	9606.ENSP00000361076	0.991969
9606.ENSP00000361076	9606.ENSP00000346050	0.991969
9606.ENSP00000307889	9606.ENSP00000363676	0.991947
9606.ENSP00000363676	9606.ENSP00000307889	0.991947
9606.ENSP00000222247	9606.ENSP00000447001	0.991946
9606.ENSP00000447001	9606.ENSP00000222247	0.991946
9606.ENSP00000414321	9606.ENSP00000435777	0.991921
9606.ENSP00000435777	9606.ENSP00000414321	0.991921
9606.ENSP00000225430	9606.ENSP00000447001	0.991875
9606.ENSP00000447001	9606.ENSP00000225430	0.991875
9606.ENSP00000318646	9606.ENSP00000470972	0.991842
9606.ENSP00000470972	9606.ENSP00000318646	0.991842
9606.ENSP00000416429	9606.ENSP00000419117	0.991820
9606.ENSP00000419117	9606.ENSP00000416429	0.991820
9606.ENSP00000225430	9606.ENSP00000413436	0.991759
9606.ENSP00000413436	9606.ENSP00000225430	0.991759
9606.ENSP00000309334	9606.ENSP00000375730	0.991733
9606.ENSP00000375730	9606.ENSP00000309334	0.991733
9606.ENSP00000354961	9606.ENSP00000354982	0.991726
9606.ENSP00000354982	9606.ENSP00000354961	0.991726
9606.ENSP00000304697	9606.ENSP00000441543	0.991556
9606.ENSP00000441543	9606.ENSP00000304697	0.991556
9606.ENSP00000339795	9606.ENSP00000369757	0.991497
9606.ENSP00000369757	9606.ENSP00000339795	0.991497
9606.ENSP00000363018	9606.ENSP00000389103	0.991481
9606.ENSP00000389103	9606.ENSP00000363018	0.991481
9606.ENSP00000307889	9606.ENSP00000385958	0.991376
9606.ENSP00000385958	9606.ENSP00000307889	0.991376
9606.ENSP00000302896	9606.ENSP00000435777	0.991339
9606.ENSP00000435777	9606.ENSP00000302896	0.991339
9606.ENSP00000318646	9606.ENSP00000435777	0.991287
9606.ENSP00000435777	9606.ENSP00000318646	0.991287
9606.ENSP00000435096	9606.ENSP00000470972	0.991242
9606.ENSP00000470972	9606.ENSP00000435096	0.991242
9606.ENSP00000363676	9606.ENSP00000416429	0.991234
9606.ENSP00000416429	9606.ENSP00000363676	0.991234
9606.ENSP00000377640	9606.ENSP00000379506	0.991225
9606.ENSP00000379506	9606.ENSP00000377640	0.991225
9606.ENSP00000435777	9606.ENSP00000470972	0.991201
9606.ENSP00000470972	9606.ENSP00000435777	0.991201
9606.ENSP00000339795	9606.ENSP00000363018	0.991141
9606.ENSP00000363018	9606.ENSP00000339795	0.991141
9606.ENSP00000251453	9606.ENSP00000435096	0.991137
9606.ENSP00000435096	9606.ENSP00000251453	0.991137
9606.ENSP00000307889	9606.ENSP00000416429	0.990869
9606.ENSP00000416429	9606.ENSP00000307889	0.990869
9606.ENSP00000400467	9606.ENSP00000414321	0.990842
9606.ENSP00000414321	9606.ENSP00000400467	0.990842
9606.ENSP00000259469	9606.ENSP00000470972	0.990827
9606.ENSP00000470972	9606.ENSP00000259469	0.990827
9606.ENSP00000300527	9606.ENSP00000355180	0.990826
9606.ENSP00000355180	9606.ENSP00000300527	0.990826
9606.ENSP00000388107	9606.ENSP00000441543	0.990701
9606.ENSP00000441543	9606.ENSP00000388107	0.990701
9606.ENSP00000251453	9606.ENSP00000389103	0.990674
9606.ENSP00000389103	9606.ENSP00000251453	0.990674
9606.ENSP00000363018	9606.ENSP00000379888	0.990624
9606.ENSP00000379888	9606.ENSP00000363018	0.990624
9606.ENSP00000262584	9606.ENSP00000361076	0.990487
9606.ENSP00000361076	9606.ENSP00000262584	0.990487
9606.ENSP00000339095	9606.ENSP00000362744	0.990364
9606.ENSP00000362744	9606.ENSP00000339095	0.990364
9606.ENSP00000477776	9606.ENSP00000478290	0.990331
9606.ENSP00000478290	9606.ENSP00000477776	0.990331
9606.ENSP00000354961	9606.ENSP00000355046	0.990304
9606.ENSP00000355046	9606.ENSP00000354961	0.990304
9606.ENSP00000385958	9606.ENSP00000435777	0.990293
9606.ENSP00000435777	9606.ENSP00000385958	0.990293
9606.ENSP00000339795	9606.ENSP00000375730	0.990287
9606.ENSP00000375730	9606.ENSP00000339795	0.990287
9606.ENSP00000379888	9606.ENSP00000400467	0.990254
9606.ENSP00000400467	9606.ENSP00000379888	0.990254
9606.ENSP00000262584	9606.ENSP00000341885	0.990193
9606.ENSP00000341885	9606.ENSP00000262584	0.990193
9606.ENSP00000359345	9606.ENSP00000361076	0.990168
9606.ENSP00000361076	9606.ENSP00000359345	0.990168
9606.ENSP00000272298	9606.ENSP00000349467	0.990160
9606.ENSP00000349467	9606.ENSP00000272298	0.990160
9606.ENSP00000304697	9606.ENSP00000388107	0.990141
9606.ENSP00000388107	9606.ENSP00000304697	0.990141
9606.ENSP00000377640	9606.ENSP00000414321	0.990121
9606.ENSP00000414321	9606.ENSP00000377640	0.990121
9606.ENSP00000361076	9606.ENSP00000363018	0.990085
9606.ENSP00000363018	9606.ENSP00000361076	0.990085
9606.ENSP00000009530	9606.ENSP00000378786	0.990067
9606.ENSP00000378786	9606.ENSP00000009530	0.990067
9606.ENSP00000361076	9606.ENSP00000403172	0.990040
9606.ENSP00000403172	9606.ENSP00000361076	0.990040
9606.ENSP00000222247	9606.ENSP00000363676	0.990022
9606.ENSP00000363676	9606.ENSP00000222247	0.990022
9606.ENSP00000414321	9606.ENSP00000428085	0.990018
9606.ENSP00000428085	9606.ENSP00000414321	0.990018
9606.ENSP00000278572	9606.ENSP00000361076	0.989956
9606.ENSP00000361076	9606.ENSP00000278572	0.989956
9606.ENSP00000251453	9606.ENSP00000420311	0.989935
9606.ENSP00000420311	9606.ENSP00000251453	0.989935
9606.ENSP00000362744	9606.ENSP00000363676	0.989932
9606.ENSP00000363676	9606.ENSP00000362744	0.989932
9606.ENSP00000251453	9606.ENSP00000318646	0.989756
9606.ENSP00000318646	9606.ENSP00000251453	0.989756
9606.ENSP00000416429	9606.ENSP00000470972	0.989730
9606.ENSP00000470972	9606.ENSP00000416429	0.989730
9606.ENSP00000302896	9606.ENSP00000309334	0.989703
9606.ENSP00000309334	9606.ENSP00000302896	0.989703
9606.ENSP00000362744	9606.ENSP00000435777	0.989643
9606.ENSP00000435777	9606.ENSP00000362744	0.989643
9606.ENSP00000296417	9606.ENSP00000308405	0.989623
9606.ENSP00000308405	9606.ENSP00000296417	0.989623
9606.ENSP00000384442	9606.ENSP00000464036	0.989613
9606.ENSP00000464036	9606.ENSP00000384442	0.989613
9606.ENSP00000416429	9606.ENSP00000463784	0.989533
9606.ENSP00000463784	9606.ENSP00000416429	0.989533
9606.ENSP00000222247	9606.ENSP00000296674	0.989529
9606.ENSP00000296674	9606.ENSP00000222247	0.989529
9606.ENSP00000302896	9606.ENSP00000339795	0.989518
9606.ENSP00000339795	9606.ENSP00000302896	0.989518
9606.ENSP00000307889	9606.ENSP00000447001	0.989504
9606.ENSP00000447001	9606.ENSP00000307889	0.989504
9606.ENSP00000301071	9606.ENSP00000336799	0.989501
9606.ENSP00000336799	9606.ENSP00000301071	0.989501
9606.ENSP00000222247	9606.ENSP00000346027	0.989480
9606.ENSP00000346027	9606.ENSP00000222247	0.989480
9606.ENSP00000251453	9606.ENSP00000270625	0.989396
9606.ENSP00000270625	9606.ENSP00000251453	0.989396
9606.ENSP00000307889	9606.ENSP00000361076	0.989372
9606.ENSP00000361076	9606.ENSP00000307889	0.989372
9606.ENSP00000251453	9606.ENSP00000346015	0.989353
9606.ENSP00000346015	9606.ENSP00000251453	0.989353
9606.ENSP00000225430	9606.ENSP00000346050	0.989334
9606.ENSP00000346050	9606.ENSP00000225430	0.989334
9606.ENSP00000307889	9606.ENSP00000377640	0.989304
9606.ENSP00000377640	9606.ENSP00000307889	0.989304
9606.ENSP00000222247	9606.ENSP00000318646	0.989272
9606.ENSP00000318646	9606.ENSP00000222247	0.989272
9606.ENSP00000363018	9606.ENSP00000369757	0.989235
9606.ENSP00000369757	9606.ENSP00000363018	0.989235
9606.ENSP00000262584	9606.ENSP00000435777	0.989142
9606.ENSP00000435777	9606.ENSP00000262584	0.989142
9606.ENSP00000296674	9606.ENSP00000318646	0.989122
9606.ENSP00000318646	9606.ENSP00000296674	0.989122
9606.ENSP00000379506	9606.ENSP00000400467	0.989074
9606.ENSP00000400467	9606.ENSP00000379506	0.989074
9606.ENSP00000363018	9606.ENSP00000472985	0.989073
9606.ENSP00000472985	9606.ENSP00000363018	0.989073
9606.ENSP00000439444	9606.ENSP00000463419	0.989068
9606.ENSP00000463419	9606.ENSP00000439444	0.989068
9606.ENSP00000393241	9606.ENSP00000416429	0.989030
9606.ENSP00000416429	9606.ENSP00000393241	0.989030
9606.ENSP00000272298	9606.ENSP00000291295	0.989012
9606.ENSP00000291295	9606.ENSP00000272298	0.989012
9606.ENSP00000369757	9606.ENSP00000385958	0.989006
9606.ENSP00000385958	9606.ENSP00000369757	0.989006
9606.ENSP00000291295	9606.ENSP00000349467	0.988958
9606.ENSP00000349467	9606.ENSP00000291295	0.988958
9606.ENSP00000284727	9606.ENSP00000377033	0.988955
9606.ENSP00000377033	9606.ENSP00000284727	0.988955
9606.ENSP00000439444	9606.ENSP00000485206	0.988953
9606.ENSP00000485206	9606.ENSP00000439444	0.988953
9606.ENSP00000346050	9606.ENSP00000400467	0.988938
9606.ENSP00000400467	9606.ENSP00000346050	0.988938
9606.ENSP00000318646	9606.ENSP00000435096	0.988935
9606.ENSP00000435096	9606.ENSP00000318646	0.988935
9606.ENSP00000463419	9606.ENSP00000485206	0.988922
9606.ENSP00000485206	9606.ENSP00000463419	0.988922
9606.ENSP00000318646	9606.ENSP00000416429	0.988912
9606.ENSP00000416429	9606.ENSP00000318646	0.988912
9606.ENSP00000363676	9606.ENSP00000393241	0.988900
9606.ENSP00000393241	9606.ENSP00000363676	0.988900
9606.ENSP00000363018	9606.ENSP00000464813	0.988878
9606.ENSP00000464813	9606.ENSP00000363018	0.988878
9606.ENSP00000222247	9606.ENSP00000362744	0.988849
9606.ENSP00000362744	9606.ENSP00000222247	0.988849
9606.ENSP00000463419	9606.ENSP00000485638	0.988833
